更新时间,#genre#
20250806-121221

频道名称,URL地址,#genre#
1905国内电影,http://ygbh.live/1905.php?id=1905a
1905国外电影,http://ygbh.live/1905.php?id=1905b
1983年,https://vd2.bdstatic.com/mdanmgf0aiczefpbjyv/360p/h264/1671273368681637465/mdanmgf0aiczefpbjyv.mp4
1986年,https://txmov2.a.kwimgs.com/bs3/videohls/5231493982164619599_hlshd15.m3u8
1987年,http://50069.njc.svp.tencentcloud.com/0bc3fuaaiaaavuaibgr5f5rfalodaqwqabaa.f10003.mp4
1987年,https://txmov2.a.kwimgs.com/bs3/videohls/5195746663405928031_hlsb.m3u8
1988年,https://txmov2.a.kwimgs.com/bs3/videohls/5216575810935394655_hlsb.m3u8
1991年,https://txmov2.a.kwimgs.com/bs3/videohls/5210664837540712798_hlshd15.m3u8
1992年,https://txmov2.a.kwimgs.com/bs3/videohls/5256826755663896297_hlshd15.m3u8
1993年,https://txmov2.a.kwimgs.com/bs3/videohls/5217420261875933947_hlshd15.m3u8
1994年,https://txmov2.a.kwimgs.com/bs3/videohls/5197154061406974711_hlshd15.m3u8
1995年,https://txmov2.a.kwimgs.com/bs3/videohls/5255137907893179578_hlshd15.m3u8
1997年,https://txmov2.a.kwimgs.com/bs3/videohls/5230649583590411879_hlshd15.m3u8
1998年,https://txmov2.a.kwimgs.com/bs3/videohls/5225864507896315430_hlshd15.m3u8
1999年,https://txmov2.a.kwimgs.com/bs3/videohls/5258234133675308186_hlshd15.m3u8
2000年,https://txmov2.a.kwimgs.com/bs3/videohls/5216294359327079321_hlshd15.m3u8
2001年,https://txmov2.a.kwimgs.com/bs3/videohls/5228960735897942616_hlshd15.m3u8
2002年,https://txmov2.a.kwimgs.com/bs3/videohls/5255700858599864364_hlshd15.m3u8
2004年,https://txmov2.a.kwimgs.com/bs3/videohls/5223894184413450769_hlshd15.m3u8
2005年,https://txmov2.a.kwimgs.com/bs3/videohls/5254012008863954469_hlshd15.m3u8
2006年,https://txmov2.a.kwimgs.com/bs3/videohls/5194339310474320155_hlshd15.m3u8
2007年,https://txmov2.a.kwimgs.com/bs3/videohls/5219953534755647343_hlshd15.m3u8
2008年,https://txmov2.a.kwimgs.com/bs3/videohls/5194902262344826321_hlshd15.m3u8
2009年,https://txmov2.a.kwimgs.com/bs3/videohls/5210946337266019890_hlshd15.m3u8
2014年,https://txmov2.a.kwimgs.com/bs3/videohls/5245286283437869627_hlshd15.m3u8
2019年,https://txmov2.a.kwimgs.com/bs3/videohls/5222205336887088723_hlshd15.m3u8
2020年,https://txmov2.a.kwimgs.com/bs3/videohls/5248101009010430183_hlshd15.m3u8
2023年,https://txmov2.a.kwimgs.com/bs3/videohls/5251197255879398624_hlshd15.m3u8
2024年春晚,https://p2.bdstatic.com/rtmp.liveshow.lssuser.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
2025年春晚,https://svipsvip.ffzyread1.com/20250129/35458_c988286f/index.m3u8
