更新时间,#genre#
20250810-22-52-23,url

RespoTime,whitelist,#genre#
5.94ms,北京经典969,http://satellitepull.cnr.cn/live/wxsdyygb/playlist.m3u8
6.08ms,山东体育,http://satellitepull.cnr.cn/live/wxsdtyxxgb/playlist.m3u8
6.10ms,半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
6.10ms,长三角之声,http://satellitepull.cnr.cn/live/wx32dfgbdt/playlist.m3u8
6.26ms,河南教育广播,http://satellitepull.cnr.cn/live/wxhnlygb/playlist.m3u8
6.44ms,四川新闻广播,http://satellitepull.cnr.cn/live/wxsclyshgb/playlist.m3u8
7.11ms,1984年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
7.16ms,凤凰卫视香港台,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
7.27ms,TVBS,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-tvbs.flv
7.71ms,凤凰卫视中文台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwszwt-012346789.flv
8.20ms,凤凰卫视资讯台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwszxt-012346789.flv
8.22ms,凤凰卫视香港台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwsxgt-012346789.flv
8.55ms,民视台湾,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-mstwt.flv
8.57ms,中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-ztyzt.flv
9.05ms,民视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-ms.flv
9.30ms,TVB明珠,http://push-rtmp-hs-spe-f5.douyincdn.com/live/c5220acf319f65ba0161a8d82760ed1d.flv
9.41ms,RTHK31,http://api.mg.itv888.cn:8080/hls/7f79a251429/index.m3u8
9.82ms,台视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-ts.flv
9.88ms,TVB翡翠,http://api.mg.itv888.cn:8080/hls/ac8b06eb0c8/index.m3u8
9.96ms,中天娱乐,http://push-rtmp-hs-spe-f5.douyincdn.com/live/167ztyl.flv
10.06ms,TVB明珠,http://api.mg.itv888.cn:8080/hls/63e9ea6e5df/index.m3u8
11.21ms,东森财经,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-dscjxw.flv
11.58ms,RTHK32,http://api.mg.itv888.cn:8080/hls/18c550eab1e/index.m3u8
11.91ms,台视新闻台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-tsxw.flv
12.04ms,CGTN Radio,http://satellitepull.cnr.cn/live/wxhqzx01/playlist.m3u8
12.68ms,寰宇新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-hyxwt.flv
14.58ms,TVB翡翠,http://api.mg.itv888.cn:8080/hls/4bb8922027c/index.m3u8
15.05ms,Now爆谷,http://push-rtmp-hs-spe-f5.douyincdn.com/live/vhNli7a2uwqrSArlhBpDjs0wLosrFVLkMnb9OJ2Hzj14qlP0TO.flv
18.36ms,2022年春晚,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
22.53ms,香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&wsMonitor=0###HLS\\n
24.18ms,北京青年,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8
30.93ms,山东经典音乐广播,http://satellitepull.cnr.cn/live/wxsdshxxgb/playlist.m3u8
