更新时间,#genre#
20250901-19-27-33,url


RespoTime,whitelist,#genre#
531.93ms,CCTV1,http://113.26.202.52:1299/tsfile/live/0001_1.m3u8
528.05ms,CCTV1,http://106.53.99.30/tv/20250803.php?id=CCTV1
447.91ms,CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
422.00ms,CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
505.97ms,CCTV1,http://60.174.40.117:85/tsfile/live/0001_1.m3u8?key=txiptv
442.32ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
647.28ms,CCTV1,https://cc06.tv12.xyz/1.m3u8
444.82ms,CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv
532.10ms,CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
502.69ms,CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
426.46ms,CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
405.34ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
328.62ms,CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
475.81ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
429.69ms,CCTV1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
520.20ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
975.78ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
571.42ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
1074.74ms,CCTV1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
1104.32ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8
1099.20ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
609.40ms,CCTV1,https://stream1.freetv.fun/2ad5af5d9a8d7243c8d9c7422ee6cf76bad9ac2c1e157bc9f199423fb5ed4845.m3u8
584.98ms,CCTV1,https://stream1.freetv.fun/8973ff67af3f7c2d22cdf2a379e20b1bc812e963bfb3fd4bccf5a85c4953d022.m3u8
503.06ms,CCTV1,https://stream1.freetv.fun/32f2971092f2d6d62d14ecf5b7fec403c96200d3d03e70c6bc7deb2f66cf9fbb.m3u8
791.23ms,CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
665.49ms,CCTV1,https://stream1.freetv.fun/ce5384774a118c8eccc8a7402ba31e40b0fd0e08e06a0220c0043cfca4400c14.m3u8
798.23ms,CCTV1,https://stream1.freetv.fun/f8b77654ee5202e90044771d42c97306dee3fac5acd35b60e23652873790de01.m3u8
