更新时间,#genre#
20251108-08-24-07,url


RespoTime,whitelist,#genre#
1210.57ms,CCTV1,https://stream1.freetv.fun/32f2971092f2d6d62d14ecf5b7fec403c96200d3d03e70c6bc7deb2f66cf9fbb.m3u8
396.49ms,CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
1050.15ms,CCTV1,https://stream1.freetv.fun/df7cf71b3e02015b9029ac087b3eec56fde92fd81d162962570629faec293037.m3u8
460.27ms,CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
974.36ms,CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
1010.73ms,CCTV1,https://stream1.freetv.fun/e87ac64457c976111fc8524f11c25da508b807c29647c571b45ab13a609917c2.m3u8
313.72ms,CCTV1,http://a21709.tv.netsite.cc/proxy/1387573383/1387573383.m3u8
1008.62ms,CCTV1,https://stream1.freetv.fun/f1fa8406434117dfaa5c0b174fa90a31da74b1ad921fc3ce3662a40cff4d9001.m3u8
293.35ms,CCTV1,http://a21709.tv.netsite.cc/proxy/1464748337/1464748337.m3u8
397.69ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
944.65ms,CCTV1,https://stream1.freetv.fun/ee6bfbbf6bd7448cd334ce598474b15c4179f9cf07a6980cd02389132eef0af0.m3u8
1224.27ms,CCTV1,https://stream1.freetv.fun/0905e6f82d72f6c6a745f5f5bf328779cb3348751e044b96934fff521f5d97a5.m3u8
445.53ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
541.02ms,CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
934.32ms,CCTV1,https://stream1.freetv.fun/960192460e742af597efd712c6fee1c5baf1e90589d2166e6e3f0dd636132070.m3u8
396.10ms,CCTV1,http://106.53.99.30/tv/20250803.php?id=CCTV1
542.62ms,CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
817.63ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
928.25ms,CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
543.00ms,CCTV1,http://60.174.40.117:85/tsfile/live/0001_1.m3u8?key=txiptv
924.42ms,CCTV1,https://stream1.freetv.fun/354e2e055127bbf43693aa848d84f93f5bcc517472a8858f188f313dbf157f51.m3u8
1204.51ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8
407.45ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
1316.85ms,CCTV1,https://stream1.freetv.fun/2ad5af5d9a8d7243c8d9c7422ee6cf76bad9ac2c1e157bc9f199423fb5ed4845.m3u8
569.56ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
394.37ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
918.34ms,CCTV1,https://stream1.freetv.fun/961876d0c8bba36f6519d7018724963b00d568ce7a9f1f1b31e2b373b4f1d2b3.m3u8
1896.10ms,CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
696.13ms,CCTV1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
1014.03ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
1330.34ms,CCTV1,http://fm1077.serv00.net/Smart.php?id=cctv1
806.49ms,CCTV1,http://sh.lnott.top:880/dx01.m3u8
1742.43ms,CCTV1,http://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120
452.32ms,CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
1409.83ms,CCTV1,https://tv.iill.top/migu/cctv1
1012.62ms,CCTV1,http://ygbh.site/php/bfgd.php?id=201
1041.64ms,CCTV1,http://ygbh.site/php/bfgd.php?id=484
1038.42ms,CCTV1,http://ygbh.site/php/bfgd.php?id=489
1070.55ms,CCTV1,http://ygbh.site/php/bfgd.php?id=488
457.90ms,CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8
2630.48ms,CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1
2638.46ms,CCTV1,http://106.53.99.30/tv/api.php?id=cctv1
403.35ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=BovPet&tk=FgM0vQMejxvG
379.53ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sPzAe7&tk=FgM0vQMejxvG
454.53ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=b3eXPo&tk=FgM0vQMejxvG
421.70ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=VaAaU1&tk=FgM0vQMejxvG
356.29ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ol4Xj9&tk=FgM0vQMejxvG
891.95ms,CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8
334.85ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=M8UbAJ&tk=FgM0vQMejxvG
430.24ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GRslVT&tk=FgM0vQMejxvG
435.04ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DASpOl&tk=FgM0vQMejxvG
418.74ms,CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=PldLrS&tk=FgM0vQMejxvG
331.13ms,CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8
2313.01ms,CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140
412.66ms,CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
383.08ms,CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
380.32ms,CCTV1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8
419.66ms,CCTV1,https://stream1.freetv.fun/3cd84be1fb3623f1c3ba7d3d26e3d607331255d6559bd3e6ded774a1ff7c2b89.m3u8
388.61ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
1929.20ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=6
2071.38ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=3
312.41ms,CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
462.49ms,CCTV1,https://stream1.freetv.fun/cctv1-7.m3u8
517.25ms,CCTV1,http://183.131.246.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
426.89ms,CCTV1,https://migu.188766.xyz/?migutoken=b1225aab265399dad0f5323c35192a23&id=CCTV1&pp=1
2161.80ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=7
2300.09ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=2
578.81ms,CCTV1,https://stream1.freetv.fun/cctv1-6.ctv
384.10ms,CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
407.09ms,CCTV1,http://36.135.118.195:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
1838.20ms,CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
633.97ms,CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-3.m3u8
640.67ms,CCTV1,https://stream1.freetv.fun/cctv1zong-he-1.ctv
3639.81ms,CCTV1,http://8.138.7.223/tv/migu2.php?id=1
594.95ms,CCTV1,https://stream1.freetv.fun/cctv1-61.m3u8
425.21ms,CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
442.00ms,CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
697.13ms,CCTV1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv
415.49ms,CCTV1,https://stream1.freetv.fun/rthk33-1.m3u8
2851.27ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=4
439.45ms,CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
1042.64ms,CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
553.26ms,CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8
3802.68ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=1
1224.58ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=616bff0550349c6e67acff477cb46f9414058f2f80a6037f87e37174fab7a88ce43007f82993964b9222c5578037b6435c076ec1a3cd9712bffad24d5fb5293d9665b5fce5f6d1ec1012231552
1302.01ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=80908303af21bc464e188f7e6e33e325e8ac7cc103c5c0c6353cc836f0908085ba7e93a6689a2d96daf2f163fd9d3732ba71e1288a2e8bb2bf6ed82066df1e6eafbedc4ce9a9f3aa896c0e4cd9
1591.42ms,CCTV1,http://182.150.23.74:808/hls/1/index.m3u8
1522.54ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=2a6c4fb9cc8f7f2e3b74e061cd6015c3fac382e2bed56fc0e7ec642cda0243f33539c8b831a81a788ef263a552c1fc2e83f85c3aca1c5ac20b670cab6b54dd26fb6cfd1adfd5a289207103e06b
1620.00ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=9674d857d6e43e0789d8ec76bab7cdbe190192db368f8f0e2f8018a3e2a160ee9f9ce8d41030046da2b0373378dd65c74a6af0f9a31b8828027b8367d720ea077aef2f2a08a603b4e16074c6b9
412.32ms,CCTV1,http://8.134.110.147:5300/?id=cctv1
399.57ms,CCTV1,https://migu.188766.xyz/?migutoken=ed6f184e1b861f6a89de8502255f3ec9&id=CCTV1&pp=1
1784.45ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=b0831136e327a93587e1920b5595d227c66a7f1a6aabb8e7532bc0682db88a37af6a27b88fde476a02c5f83db38f3b3e864bcf981c57f7fed9877095a1e2fac1a149f0f8869c5c1dc147bee7be
5230.71ms,CCTV1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
5239.48ms,CCTV1,https://stream1.freetv.fun/9f70f5d60b14bb1ef93886f17fa8f20f55f4a36ac45206f6c5a5bf9654d6e4fb.m3u8
4868.60ms,CCTV1,https://stream1.freetv.fun/2622897affd8a1c93ab36252984ab0e499d1e4a6fc76b87e6ef8039de3f2e642.m3u8
4863.93ms,CCTV1,https://stream1.freetv.fun/03926cb79638398a11285c90b222911693264d56dc9fc0172bec90b39c6b371b.m3u8
5261.05ms,CCTV1,https://stream1.freetv.fun/8973ff67af3f7c2d22cdf2a379e20b1bc812e963bfb3fd4bccf5a85c4953d022.m3u8
5280.20ms,CCTV1,https://stream1.freetv.fun/f8b77654ee5202e90044771d42c97306dee3fac5acd35b60e23652873790de01.m3u8
416.68ms,CCTV1,http://8.134.110.147:5300/
1776.43ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=7653cf8ec6440c201ccd67dfdbdd9a4c8401078f6b4cef8fc9258c372e1780fa8e3c5de722f5ac2cda4bd2291ccdf287a6caaac860219844ccf49b78b010dec5742f609b951e599c4b873bf8ad
1782.78ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=b6a50213ea411edfdeda0e4c7abb5985d6a4f4c3d2f34274d4906fe15400b56f0a5a4ae5fb1d8e0ba25591ea3977d8cc6e1a4faa5a316308a146dfe83d122086fb13709fb6495fea020b068333
1831.03ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=16a362b923a43fa0d4ce2aba3ecd88cd5e53be41dc5d15a9d1c9bad7fb665c1a2cee1355de7ca1df5ea56c38b88d68c7837724e9d16f358d73f49a202d62a71f7b2eb754beefe9b46eb9e8ab25
1774.54ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=d46a7802f5e358560129ef9519cb7db38f9f355847dd255fb5ac47a4bf8e3c6b5b980b45749fb1cb373b654d43a6fc41c66a124ad66ee40a80f07e155334fe6f023993dc3f284f86ab66653797
1532.60ms,CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8
1929.15ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=ba552a2083efcc0e9cac8e15f58b13e090dab068fdb3997d064fd7e6e5f165824a5caaa619f3447f77d75712ad65bd76cb137741f46b0a28cb1afc020328b9b4ec1d3f8e8fed80beb6245b6544
1802.77ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=184a95f0cdaaf7c1f3c7b4cd06d432af7234562e68074726eac10898c158cf1eea49819ced71b5e3d2f3ea0023ff71f8062e39a0a92ffd236a2c1ef4a30ca7f3cb03548908d23e6c6d685437e2
357.00ms,CCTV1,https://migu.188766.xyz/?migutoken=1ac2dc8f9ec3fca1af84c95a7b423319&id=CCTV1&pp=1
4234.83ms,CCTV1,http://8.138.7.223/tv/mgitv.php?id=5
1833.64ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=701afbfc9d2f77d62a9cc2f9479ecde3db6cef36d454660b5d2f0ffb3a1017d0e04c2e19dcbb7c344d80cfb64e43e90dd66c458476898ee612d0e2e9261645fcfc0d32fb90cdf2021d89c4877a
1510.78ms,CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
375.63ms,CCTV1,https://migu.188766.xyz/?migutoken=6598d13b64b01bf74fc04c13b92b9cb6&id=CCTV1&pp=1
430.63ms,CCTV1,https://migu.188766.xyz/?migutoken=704afb6a1f4c83ef871802fb8dcb89b3&id=CCTV1&pp=1
319.55ms,CCTV1,https://migu.188766.xyz/?migutoken=741e40cd30ca20ff5b10e49b08c79086&id=CCTV1&type=yy
419.14ms,CCTV1,http://124.165.251.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
419.57ms,CCTV1,https://migu.188766.xyz/?migutoken=cbff74952c67b8b55c11fa2ae11bf766&id=CCTV1&pp=1
412.01ms,CCTV1,https://migu.188766.xyz/?migutoken=3cef983a69a8eef9eb102e7c257c6961&id=CCTV1&pp=1
457.80ms,CCTV1,https://migu.188766.xyz/?migutoken=79e4e1c1bc0ee828a90fb188e8eb348c&id=CCTV1&pp=1
2971.21ms,CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
365.27ms,CCTV1,http://117.174.25.254:8188/rtp/239.0.0.10:5140
463.55ms,CCTV1,https://migu.188766.xyz/?migutoken=1b6ed0ad58ca3591d96a2ee4d24ad44f&id=CCTV1&type=yy
454.45ms,CCTV1,http://218.8.87.96:4000/rtp/229.58.190.151:5000
322.75ms,CCTV1,https://migu.188766.xyz/?migutoken=bd2683e9b9910eb33c722a79d4ec6c03&id=CCTV1&type=yy
263.97ms,CCTV1,https://migu.188766.xyz/?migutoken=83b815014cf40cf131126a928c1e1ca6&id=CCTV1&type=yy
384.40ms,CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
319.85ms,CCTV1,https://migu.188766.xyz/?migutoken=e148b21c7376f378ac2589557117a4ec&id=CCTV1&type=yy
452.59ms,CCTV1,http://218.8.87.96:4000/rtp/229.58.190.72:5000
348.99ms,CCTV1,https://migu.188766.xyz/?migutoken=52a7de073f47ce751596869267a33e81&id=CCTV1&type=yy
814.69ms,CCTV1,https://tv.cctv.com/live/cctv1/
362.57ms,CCTV1,https://migu.188766.xyz/?migutoken=42ea9b9ae720d5272cd7d92f510c1022&id=CCTV1&type=yy
460.79ms,CCTV1,http://124.228.160.15:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
819.07ms,CCTV1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
364.63ms,CCTV1,https://live.catvod.com/catvod_com.php?id=cctv1&token=2b3f98fc527ccf5b9c3461669e4b293e91b3003a7b8cf16f49cb4fef4204bf4b%3A1758185546
375.61ms,CCTV1,https://live.catvod.com/catvod_com.php?id=cctv1&token=af465bcfef97844447485cab4ff700619dcb71b3d47564f5bd8c4b0b8a1c95b9%3A1758271806
1416.25ms,CCTV1,http://xiaoya.crccxw.top:35455/bptv/10000100000000050000000003864351.m3u8
386.64ms,CCTV1,http://183.220.20.17:4321/rtp/239.11.0.65:5140
