更新时间,#genre#
20251222-03-51-59,url


blacklist,#genre#
CCTV1,http://106.120.13.232:4022/rtp/225.1.8.81:8176
CCTV1,http://106.120.13.232:4022/rtp/225.1.8.126:8002
CCTV1,http://106.120.13.232:4022/rtp/225.1.8.1:8008
CCTV1,http://106.120.13.232:4022/rtp/225.1.8.53:8060
CCTV1,http://106.120.13.232:4022/rtp/225.1.8.194:4120
CCTV1,http://106.120.13.232:4022/rtp/225.1.8.210:8068
CCTV1,http://106.59.2.71:55555/rtp/239.200.200.117:8712
CCTV1,http://106.59.2.71:55555/rtp/239.200.200.2:8080
CCTV1,http://106.59.2.71:55555/rtp/239.200.201.45:8800
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=202512220802033ed2b286d0e04920b798238c03aee829&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251222080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=218.28.233.106&SecurityKey=20251222080203&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=113a24c4087ad705c790f2537352379b&sv=10004&ct=android
CCTV1,https://www.wmviv.com/iptv/bc2t.php?id=cctv1
CCTV1,http://124.78.13.23:4022/udp/239.45.3.145:5140
CCTV2,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=20251222080203ce81d2ee52bd4c22b99314e64ddb3839&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251222080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=218.28.233.106&SecurityKey=20251222080203&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=52ae04847734e9241d45e7925fbb9073&sv=10004&ct=android
CCTV2,http://124.78.13.23:4022/udp/239.45.1.109:5140
CCTV1,http://36.46.98.228:8025/rtp/239.112.205.59:5140
CCTV1,http://36.46.98.161:8025/rtp/239.112.205.59:5140
CCTV1,http://106.83.118.68:8188/rtp/235.254.198.51:1480
CCTV1,http://180.105.201.157:9981/rtp/239.49.8.19:9614
CCTV1,http://180.105.201.157:9981/rtp/239.49.8.129:6000
CCTV1,http://114.100.195.46:4022/rtp/238.1.78.166:7200
CCTV1,http://111.113.89.137:2000/rtp/239.121.4.113:8636
CCTV1,http://223.198.242.217:4000/rtp/239.253.64.120:5140
CCTV3,https://stream1.freetv.fun/cctv3-6.m3u8
CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=20251222080203bc224913af85456ea16d586e1fc724e0&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251222080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=218.28.233.106&SecurityKey=20251222080203&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5eb5dc1aae8357267df7975fb09ca9fa&sv=10004&ct=android
CCTV1,http://125.80.157.49:7788/rtp/235.254.198.51:1480
CCTV2,http://36.46.98.228:8025/rtp/239.112.205.78:5140
CCTV3,http://124.78.13.23:4022/udp/239.45.1.68:5140
CCTV2,http://36.46.98.161:8025/rtp/239.112.205.78:5140
CCTV2,http://111.113.89.137:2000/rtp/239.121.4.155:8914
CCTV2,http://114.100.195.46:4022/rtp/238.1.78.235:7752
CCTV2,http://180.105.201.157:9981/rtp/239.49.8.50:9802
CCTV2,http://180.105.201.157:9981/rtp/239.49.8.130:6000
CCTV2,http://223.198.242.217:4000/rtp/239.253.64.195:5140
CCTV4,https://stream1.freetv.fun/cctv-4gao-qing-3.m3u8
CCTV3,http://36.46.98.228:8025/rtp/239.112.205.221:5140
CCTV4,https://www.wmviv.com/iptv/bc2t.php?id=cctv4o
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=20251222080204e1d54c28caa3431585b1c27bf2df5795&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251222080204&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=218.28.233.106&SecurityKey=20251222080204&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=7cb2bbcd333dd384d041e573bdb2266d&sv=10004&ct=android
CCTV4,https://www.wmviv.com/iptv/bc2t.php?id=cctv4
