更新时间,#genre#
20260817-04-53-47,url


RespoTime,whitelist,#genre#
579.26ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
580.37ms,CCTV1,http://1.192.246.243:8188/rtp/239.16.20.1:10010
296.53ms,CCTV1,https://t.freetv.fun/live/cctv1-12.m3u8
353.30ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
597.53ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
577.65ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
457.12ms,CCTV1,http://221.220.133.38:8012/rtp/239.3.1.129:8008
252.51ms,CCTV1,https://t.freetv.fun/live/cctv-1-3.m3u8
562.49ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.1:8008
574.97ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.194:4120
575.39ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.81:8176
337.41ms,CCTV1,https://t.freetv.fun/live/cctv1-2.m3u8
354.70ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
578.62ms,CCTV1,http://114.254.39.86:8888/rtp/239.3.1.129:8008
234.02ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
329.85ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
576.72ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
577.74ms,CCTV1,http://171.8.170.140:8800/rtp/239.16.20.1:10010
300.10ms,CCTV1,https://t.freetv.fun/live/cctv1-9.m3u8
581.84ms,CCTV1,http://124.112.189.92:4022/rtp/238.1.78.166:7200
568.18ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.126:8002
575.81ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.53:8060
313.69ms,CCTV1,https://t.freetv.fun/live/cctv1-10.m3u8
222.74ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
569.15ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.33:8002
239.82ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
564.62ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
559.64ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.210:8068
442.92ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
262.44ms,CCTV1,https://t.freetv.fun/live/cctv1-11.m3u8
259.00ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
266.61ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
