山西电信组播,#genre#
CCTV-1综合,http://113.25.105.156:10000/rtp/239.1.1.7:8007
CCTV-1综合,http://123.174.106.11:8888/rtp/239.1.1.7:8007
CCTV-2财经,http://123.174.106.11:8888/rtp/239.1.1.8:8008
CCTV-3综艺,http://123.174.106.11:8888/rtp/239.1.1.9:8009
CCTV-4中文国际,http://113.25.105.156:10000/rtp/239.1.1.10:8010
CCTV-4中文国际,http://123.174.106.11:8888/rtp/239.1.1.10:8010
CCTV-5体育,http://113.25.105.156:10000/rtp/239.1.1.11:8011
CCTV-5⁺体育赛事,http://123.174.106.11:8888/rtp/239.1.1.12:8012
CCTV-6电影,http://123.174.106.11:8888/rtp/239.1.1.13:8013
CCTV-8电视剧,http://123.174.106.11:8888/rtp/239.1.1.15:8015
CCTV-8电视剧,http://113.25.105.156:10000/rtp/239.1.1.15:8015
CCTV-9纪录,http://123.174.106.11:8888/rtp/239.1.1.16:8016
CCTV-10科教,http://123.174.106.11:8888/rtp/239.1.1.17:8017
CCTV-10科教,http://113.25.105.156:10000/rtp/239.1.1.17:8017
CCTV-12社会与法,http://123.174.106.11:8888/rtp/239.1.1.19:8019
CCTV-12社会与法,http://113.25.105.156:10000/rtp/239.1.1.19:8019
CCTV-13新闻,http://113.25.105.156:10000/rtp/239.1.1.20:8020
CCTV-13新闻,http://123.174.106.11:8888/rtp/239.1.1.20:8020
CCTV-14少儿,http://123.174.106.11:8888/rtp/239.1.1.21:8021
CCTV-16奥林匹克,http://123.174.106.11:8888/rtp/239.1.1.122:8122
CCTV-17农业农村,http://123.174.106.11:8888/rtp/239.1.1.23:8023
CETV-中国教育1,http://123.174.106.11:8888/rtp/239.1.1.65:8065
CCTV-第一剧场,http://123.174.106.11:8888/rtp/239.1.1.94:8094
CCTV-第一剧场,http://113.25.105.156:10000/rtp/239.1.1.94:8094
CCTV-风云剧场,http://123.174.106.11:8888/rtp/239.1.1.93:8093
CCTV-游戏风云,http://123.174.106.11:8888/rtp/239.1.1.83:8083
CCTV-怀旧剧场,http://123.174.106.11:8888/rtp/239.1.1.95:8095
CCTV-风云音乐,http://123.174.106.11:8888/rtp/239.1.1.96:8096
CCTV-风云足球,http://123.174.106.11:8888/rtp/239.1.1.101:8101
CCTV-风云足球,http://113.25.105.156:10000/rtp/239.1.1.101:8101
CCTV-世界地理,http://123.174.106.11:8888/rtp/239.1.1.99:8099
CCTV-兵器科技,http://123.174.106.11:8888/rtp/239.1.1.97:8097
CCTV-兵器科技,http://113.25.105.156:10000/rtp/239.1.1.97:8097
CCTV-中国天气,http://123.174.106.11:8888/rtp/239.1.1.107:8107
CCTV-台球,http://123.174.106.11:8888/rtp/239.1.1.100:8100
CCTV-台球,http://113.25.105.156:10000/rtp/239.1.1.100:8100
CCTV-文化精品,http://123.174.106.11:8888/rtp/239.1.1.91:8091
凤凰中文,http://123.174.106.11:8888/rtp/239.1.1.126:8126
凤凰资讯,http://123.174.106.11:8888/rtp/239.1.1.127:8127
深圳卫视,http://123.174.106.11:8888/rtp/239.1.1.39:8039
湖南卫视,http://113.25.105.156:10000/rtp/239.1.1.28:8028
江苏卫视,http://123.174.106.11:8888/rtp/239.1.1.35:8035
安徽卫视,http://123.174.106.11:8888/rtp/239.1.1.44:8044
东南卫视,http://123.174.106.11:8888/rtp/239.1.1.33:8033
河北卫视,http://113.25.105.156:10000/rtp/239.1.1.48:8048
河南卫视,http://113.25.105.156:10000/rtp/239.1.1.34:8034
河南卫视,http://123.174.106.11:8888/rtp/239.1.1.34:8034
江西卫视,http://113.25.105.156:10000/rtp/239.1.1.52:8052
辽宁卫视,http://123.174.106.11:8888/rtp/239.1.1.42:8042
宁夏卫视,http://123.174.106.11:8888/rtp/239.1.1.56:8056
宁夏卫视,http://113.25.105.156:10000/rtp/239.1.1.56:8056
山东卫视,http://123.174.106.11:8888/rtp/239.1.1.47:8047
山西卫视,http://113.25.105.156:10000/rtp/239.1.1.1:8001
山西卫视,http://123.174.106.11:8888/rtp/239.1.1.1:8001
四川卫视,http://123.174.106.11:8888/rtp/239.1.1.29:8029
新疆卫视,http://113.25.105.156:10000/rtp/239.1.1.59:8059
云南卫视,http://113.25.105.156:10000/rtp/239.1.1.54:8054
浙江卫视,http://113.25.105.156:10000/rtp/239.1.1.38:8038
重庆卫视,http://123.174.106.11:8888/rtp/239.1.1.36:8036
黑龙江卫视,http://123.174.106.11:8888/rtp/239.1.1.37:8037
山西文体生活,http://113.25.105.156:10000/rtp/239.1.1.6:8006
环球旅游,http://113.25.105.156:10000/rtp/239.1.1.116:8116
环球旅游,http://123.174.106.11:8888/rtp/239.1.1.116:8116
动漫秀场频道,http://123.174.106.11:8888/rtp/239.1.1.80:8080
上海东方财经,http://123.174.106.11:8888/rtp/239.1.1.85:8085
法治天地,http://123.174.106.11:8888/rtp/239.1.1.79:8079
SiTV乐游,http://123.174.106.11:8888/rtp/239.1.1.84:8084
都市剧场,http://113.25.105.156:10000/rtp/239.1.1.81:8081
都市剧场,http://123.174.106.11:8888/rtp/239.1.1.81:8081
上海生活时尚频道,http://113.25.105.156:10000/rtp/239.1.1.76:8076
上海生活时尚频道,http://123.174.106.11:8888/rtp/239.1.1.76:8076
湖南快乐垂钓频道,http://113.25.105.156:10000/rtp/239.1.1.86:8086
湖南快乐垂钓频道,http://123.174.106.11:8888/rtp/239.1.1.86:8086
湖南金鹰纪实频道,http://113.25.105.156:10000/rtp/239.1.1.63:8063
湖南金鹰纪实频道,http://123.174.106.11:8888/rtp/239.1.1.63:8063
湖南茶频道,http://113.25.105.156:10000/rtp/239.1.1.77:8077
湖南茶频道,http://123.174.106.11:8888/rtp/239.1.1.77:8077
黄河电视台,http://113.25.105.156:10000/rtp/239.1.1.2:8002
黄河电视台,http://123.174.106.11:8888/rtp/239.1.1.2:8002
山西影视,http://113.25.105.156:10000/rtp/239.1.1.4:8004
山西影视,http://123.174.106.11:8888/rtp/239.1.1.4:8004
晋中公共,http://113.25.105.156:10000/rtp/239.1.1.121:8121
山西社会与法治,http://113.25.105.156:10000/rtp/239.1.1.5:8005
山西经济与科技,http://123.174.106.11:8888/rtp/239.1.1.3:8003
运城1台,http://123.174.106.11:8888/rtp/239.1.1.123:8123
运城1台,http://113.25.105.156:10000/rtp/239.1.1.123:8123
上海卫视,http://123.174.106.11:8888/rtp/239.1.1.31:8031
上海卫视,http://113.25.105.156:10000/rtp/239.1.1.31:8031
盐湖频道,http://123.174.106.11:8888/rtp/239.1.1.125:8125
盐湖频道,http://113.25.105.156:10000/rtp/239.1.1.125:8125
运城2台,http://123.174.106.11:8888/rtp/239.1.1.124:8124
山西联通组播,#genre#
CCTV-1综合,http://171.116.216.113:10010/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.65:6001/rtp/226.0.2.153:9136
CCTV-1综合,http://118.79.12.65:6001/rtp/226.0.1.157:3086
CCTV-1综合,http://171.118.222.23:8082/rtp/226.0.1.157:3086
