MTV电台,#genre#

CNR音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8

CNR经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CRI HIT FM (北京),https://satellitepull.cnr.cn/live/wxgjlxyy/playlist.m3u8
CRI HIT FM (广州),https://satellitepull.cnr.cn/live/wxhitfm/playlist.m3u8
北京经典969,http://live.funhillrm.com/4/sd/live.m3u8
旅游之声,http://starfish.bj.aliyun.007.qingting.fm:8000/fm98.7lvyouzhisheng
陕西音乐广播,https://satellitepull.cnr.cn/live/wxsxxyygb/playlist.m3u8
陕西青少广播·好听1055,https://satellitepull.cnr.cn/live/wxsxxqcgb/playlist.m3u8
苏州都市音乐广播,http://audio-live.radio.cn/live/szyy1/playlist.m3u8
山东音乐广播,https://satellitepull.cnr.cn/live/wxsdyygb/playlist.m3u8
山东经典音乐广播,https://satellitepull.cnr.cn/live/wxsdshxxgb/playlist.m3u8
安徽音乐广播,https://satellitepull.cnr.cn/live/wxahyygb/playlist.m3u8
宁波音乐广播,http://ihzlh.linker.cc/ihzlh/zjnb_ts02_986.m3u8
湖南音乐之声·芒果音乐台,http://a.live.hnradio.com/yypd/radio120k_yypd.m3u8?auth_key=1588751172-0-0-d97b858279c1c86650172b9913ea4af2
湖南文艺广播·摩登音乐台,https://satellitepull.cnr.cn/live/wx32hunwygb/playlist.m3u8
惠州音乐广播,http://stream.hztvmg.com/test17/playlist.m3u8
宜昌音乐生活广播,http://playfmaliyun.3xgd.com/fm/qct.m3u8
江西旅游广播iFM97.4,http://live02.jxtvcn.com.cn/live-jxtvcn/jxtv_pyhgb_aac.m3u8
江西故事广播·潮台969,http://live02.jxtvcn.com.cn/live-jxtvcn/jxtv_myfm969_aac.m3u8
山西音乐广播,https://radiolive.sxrtv.com/live/yinyue/playlist.m3u8
内蒙古音乐之声,https://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
湖北经典音乐广播,https://satellitepull.cnr.cn/live/wx32hubyygb/playlist.m3u8
甘肃青春调频,https://satellitepull.cnr.cn/live/wxgsqcgb/playlist.m3u8
甘肃都市调频,https://satellitepull.cnr.cn/live/wxgsdstb/playlist.m3u8
广西音乐广播,https://satellitepull.cnr.cn/live/wx32gxwygb/playlist.m3u8
广西经济广播·女主播电台,https://satellitepull.cnr.cn/live/wx32gxjjgb/playlist.m3u8
云南音乐广播,https://satellitepull.cnr.cn/live/wxynyygb/playlist.m3u8
四川城市之音,https://satellitepull.cnr.cn/live/wxsccszs/playlist.m3u8
四川岷江音乐,https://satellitepull.cnr.cn/live/wxscmjyyt/playlist.m3u8
厦门音乐广播,http://live1.kxm.xmtv.cn/aac_xmyy/playlist.m3u8
楚天音乐广播,https://satellitepull.cnr.cn/live/wx32hubctyygb/playlist.m3u8
江苏音乐广播,https://satellitepull.cnr.cn/live/wx32jsyygb/playlist.m3u8
江苏经典流行音乐广播,https://satellitepull.cnr.cn/live/wx32jsjdlxyy/playlist.m3u8
浙江音乐调频·动听968,https://satellitepull.cnr.cn/live/wxzj968/playlist.m3u8
河北音乐广播,https://satellitepull.cnr.cn/live/wxhebyygb/playlist.m3u8
广东音乐之声,https://satellitepull.cnr.cn/live/wxgdyyzs/playlist.m3u8
深圳飞扬971,https://satellitepull.cnr.cn/live/wxszfy971/playlist.m3u8
深圳生活942,https://satellitepull.cnr.cn/live/wxszsjcgb/playlist.m3u8
海南音乐广播,https://satellitepull.cnr.cn/live/wxhainyygb/playlist.m3u8
贵州音乐广播,https://satellitepull.cnr.cn/live/wx32gzyygb/playlist.m3u8
贵州都市广播,https://satellitepull.cnr.cn/live/wx32gzqcgb/playlist.m3u8
宁夏音乐广播,https://satellitepull.cnr.cn/live/wxnxyygb/playlist.m3u8
重庆音乐广播,https://satellitepull.cnr.cn/live/wxcqyygb/playlist.m3u8
江西音乐广播,https://satellitepull.cnr.cn/live/wx32jiangxyygb/playlist.m3u8
黑龙江音乐广播,https://satellitepull.cnr.cn/live/wx32hljyygb/playlist.m3u8
福建汽车音乐广播,https://satellitepull.cnr.cn/live/wx32fjdnyygb/playlist.m3u8
哈尔滨古典音乐广播,http://pull.hrbtv.net/tv/12.m3u8
福州音乐广播,http://live.zohi.tv/audio/s10001-FM893/index.m3u8
成都文化休闲广播·radio946,http://149.129.100.78/cdgb.php?id=433-20
WHIZ Radio 海口音乐广播,http://starfish.sz.aliyun.005.qingting.fm:8000/haikouSIMULRADIO
青岛音体广播,http://video11.qtv.com.cn/zhiboytgb-sd/manifest.m3u8
青岛摩登音乐调频,http://video11.qtv.com.cn/zhibo886/manifest.m3u8
辽宁经典音乐广播,https://satellitepull.cnr.cn/live/wxlnwygb/playlist.m3u8
青海交通音乐广播,https://satellitepull.cnr.cn/live/wx32qhjtyygb/playlist.m3u8
北京音乐广播,http://audiolive2.rbc.cn:1935/live/fm974/96K/tzwj_video.m3u8
武汉音乐广播,http://stream.appwuhan.com/yypdzb/sd/live.m3u8
