🕘️更新时间,#genre#
2025-11-14 05:00:53,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

🌐央视频道,#genre#
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.117.244.149:9003/hls/1/index.m3u8
CCTV1,http://111.61.101.141:199/hls/62/index.m3u8
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV1,http://223.109.75.19:8000/057754/index.m3u8
CCTV1,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227607/1.m3u8?HlsProfileId=
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV1,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv1
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://106.52.196.79:80/TV/mui.php?id=cctv1
CCTV1,http://60.174.40.117:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://58.17.48.228:808/hls/1/index.m3u8
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
CCTV1,http://113.26.202.52:1299/tsfile/live/0001_1.m3u8
CCTV2,http://112.132.10.54:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.117.244.149:9003/hls/2/index.m3u8
CCTV2,http://111.61.101.141:199/hls/63/index.m3u8
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV2,http://60.174.40.117:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://58.17.48.228:808/hls/2/index.m3u8
CCTV2,http://110.80.17.38:9999/tsfile/live/0002_1.m3u8
CCTV2,http://113.26.202.52:1299/tsfile/live/0002_1.m3u8
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV2,http://36.105.100.208:35455/gaoma/cctv2.m3u8
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000391
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.117.244.149:9003/hls/3/index.m3u8
CCTV3,http://111.61.101.141:199/hls/222/index.m3u8
CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV3,http://223.109.75.19:8000/830965/index.m3u8
CCTV3,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227602/1.m3u8?HlsProfileId=
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV3,http://106.52.196.79:80/TV/mui.php?id=cctv3
CCTV3,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv3
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV3,http://60.174.40.117:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV3,http://110.80.17.38:9999/tsfile/live/0003_1.m3u8
CCTV4,http://111.61.101.141:199/hls/65/index.m3u8
CCTV4,http://171.117.244.149:9003/hls/4/index.m3u8
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV4,http://112.64.220.29:8001/gptv/G_CCTV-4-HQ.m3u8
CCTV4,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227637/1.m3u8?HlsProfileId=
CCTV4,http://223.109.75.19:8000/143097/index.m3u8
CCTV4,http://106.52.196.79:80/TV/mui.php?id=cctv4
CCTV4,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv4
