其它频道,#genre#
CGTN外语纪录,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=202511241400325c4053fb6330467a8af37549e23ed728&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20251124140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=106.13.250.88&SecurityKey=20251124140032&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a3cb430117c3ea1287f334fc840b1dda&ddCalcu=aad3edc21b9b40034081c1f74c333efa7182
CGTN阿拉伯语,http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=202511241400329d7d9b16433b48ccb0779f14deff5bdc&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20251124140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=106.13.250.88&SecurityKey=20251124140032&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f9ad6d59b1fcb03a6ac1cb2993341ae8&ddCalcu=8fe9eaa21d94603d35999b21bfcc1bc0a36a
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=2025112414003289f4cdae3c734734951f27af676906ab&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20251124140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=106.13.250.88&SecurityKey=20251124140032&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7cf90b20ef269d647a916426ad53163d&ddCalcu=d73ce6f21993005bd2a06e2f4266199da674
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=202511241400326beb1bcd415b48319f804cebeb06c23b&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20251124140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=106.13.250.88&SecurityKey=20251124140032&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=bcb24b52fec8bb98c8d8cf158accfedd&ddCalcu=dbdceeb2f29c40cba5825f1efcc88bdb89c8
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=202511241400334b463b55ab87401e9ffdba6b6205746b&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c977c5b0aee30814b239875086287833&ddCalcu=3c39e8727798c0256b800a5e7e83903821b4
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20251124140033dae7017179a545ecb56ec0dcc82be8df&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a374f62f44228a2fbad25d4a254b22a3&ddCalcu=3aa3e272244bf046522fa444d25228daa2bf
发现之旅,http://gslbmgsplive.miguvideo.com/wd_r3/cnr/faxianzhilv/2000/index.m3u8?msisdn=2025112414003305a20fd732e94cddaad5de3eef9163af&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=51a7ad8856449cc18c4611a91e92a5dc&ddCalcu=c5d1e5a2a742a09de81895a61414694ccc81
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=202511241400337fcf24c918524c93b2de8272430ca8e9&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=24e74b93fd1b778a8da672fcdb4ec838&ddCalcu=8234e8e2c78e404bb9d3cffd217b67a7d88a
赛事最经典,http://gslbmgsplive.miguvideo.com/migu/kailu/saishijingdian/51/20250514/index.m3u8?msisdn=20251124140033a90cadbd3cd14598a97db2d94362688f&mdspid=&spid=699004&netType=0&sid=5500592947&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=646596895&ParentNodeID=-99&assertID=5500592947&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5101034296&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=fc3938d9aba8139379cc27e3112f1564&ddCalcu=4f6ce532196f30281d193aeb7a28c1c39973
体坛名栏汇,http://gslbmgsplive.miguvideo.com/migu/kailu/titanminglan/51/20250514/index.m3u8?msisdn=20251124140033c6dd038439bf4068b0bdb9ac464e4862&mdspid=&spid=699004&netType=0&sid=5500315687&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=629943305&ParentNodeID=-99&assertID=5500315687&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5101034219&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=38cbf466d24d0a3ce241fde87aa907ec&ddCalcu=c3e8e7c20b99f0a4a6768de2d4fd104a23ec
四海钓鱼,http://gslbmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?msisdn=2025112414003325e04e1f8cb844f2809da4b5ba1e57e2&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=26d2f966390e5979444119f89ce7fb66&ddCalcu=6266ebd2f277f0e9c69683f9901e15494749
24小时全运会轮播,http://gslbmgsplive.miguvideo.com/migu/virtuallive2/5900002413/51/20210706/index.m3u8?msisdn=20251124140033b8c874f46ed94be8a1327c86ec9bee92&mdspid=&spid=800033&netType=0&sid=5910019527&pid=2028597139&timestamp=20251124140033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=713600957&ParentNodeID=-99&assertID=5910019527&client_ip=106.13.250.88&SecurityKey=20251124140033&promotionId=&mvid=5900002443&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0619b798c74cfac80d9890aa33b22371&ddCalcu=1076e3122932b0b73938aca7049c8f9adc08
