更新时间,#genre#
20251124-08-13-56,url


blacklist,#genre#
CCTV1,http://121.231.65.86:8095/rtp/239.49.8.19:9614
CCTV2,http://121.231.65.86:8095/rtp/239.49.8.50:9802
CCTV2,http://121.231.65.86:8095/rtp/239.49.8.130:6000
CCTV4,http://121.231.65.86:8095/rtp/239.49.8.131:6000
CCTV5+,http://61.159.134.162:4022/rtp/238.255.2.185:5999
CCTV6,http://61.159.134.162:4022/rtp/238.255.2.135:5999
CCTV7,http://121.231.65.86:8095/rtp/239.49.1.254:6000
CCTV5+,http://27.184.29.216:12312/rtp/239.254.200.46:8004
CCTV1,http://60.172.82.115:8686/rtp/238.1.78.166:7200
CCTV11,http://121.231.65.86:8095/rtp/239.49.1.11:6000
CCTV2,http://60.172.82.115:8686/rtp/238.1.78.235:7752
CCTV3,http://61.159.134.162:4022/rtp/238.255.2.133:5999
CCTV3,http://60.172.82.115:8686/rtp/238.1.78.170:7232
CCTV4,http://60.172.82.115:8686/rtp/238.1.78.236:7760
CCTV14,http://121.231.65.86:8095/rtp/239.49.8.56:9826
CCTV15,http://121.231.65.86:8095/rtp/239.49.1.15:6000
CCTV5,http://60.172.82.115:8686/rtp/238.1.78.171:7240
CCTV5+,http://60.172.82.115:8686/rtp/238.1.78.237:7768
CCTV6,http://60.172.82.115:8686/rtp/238.1.78.172:7248
CCTV7,http://60.172.82.115:8686/rtp/238.1.78.239:7784
浙江卫视,http://121.231.65.86:8095/rtp/239.49.8.20:9618
CCTV8,http://60.172.82.115:8686/rtp/238.1.78.173:7256
CCTV9,http://60.172.82.115:8686/rtp/238.1.78.240:7792
CCTV10,http://60.172.82.115:8686/rtp/238.1.78.241:7800
CCTV11,http://60.172.82.115:8686/rtp/238.1.78.206:7502
CCTV12,http://60.172.82.115:8686/rtp/238.1.78.242:7808
CCTV13,http://60.172.82.115:8686/rtp/238.1.79.35:4392
CCTV14,http://60.172.82.115:8686/rtp/238.1.78.243:7816
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-52.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-1.ctv
CCTV15,http://60.172.82.115:8686/rtp/238.1.78.222:7648
江苏卫视,http://121.231.65.86:8095/rtp/239.49.8.16:9602
CCTV17,http://60.172.82.115:8686/rtp/238.1.78.178:7296
CCTV4K,http://60.172.82.115:8686/rtp/238.1.78.137:6968
浙江卫视,http://60.172.82.115:8686/rtp/238.1.78.164:7184
湖北卫视,http://121.231.65.86:8095/rtp/239.49.8.8:9632
深圳卫视,https://stream1.freetv.fun/shen-zhen-wei-shi-102.ctv
湖南卫视,http://60.172.82.115:8686/rtp/238.1.78.160:7152
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-113.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-59.ctv
江苏卫视,http://60.172.82.115:8686/rtp/238.1.78.165:7192
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-90.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-48.ctv
深圳卫视,http://60.172.82.115:8686/rtp/238.1.78.156:7120
湖北卫视,http://61.159.134.162:4022/rtp/238.255.2.102:5999
湖北卫视,http://60.172.82.115:8686/rtp/238.1.78.168:7216
安徽卫视,http://60.172.82.115:8686/rtp/238.1.79.27:4328
安徽卫视,http://60.172.82.115:8686/rtp/238.1.78.150:7072
兵团卫视,http://115.171.80.57:1688/rtp/225.1.8.167:4120
兵团卫视,http://121.29.141.197:4022/rtp/239.253.93.176:6344
兵团卫视,http://111.162.204.74:8686/rtp/225.1.1.57:5002
东方卫视,http://60.172.82.115:8686/rtp/238.1.78.163:7176
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-72.ctv
东南卫视,http://60.172.82.115:8686/rtp/238.1.78.22:6104
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-7.ctv
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-19.ctv
江苏卫视,https://stream1.freetv.fun/jiang-su-wei-shi-100.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-31.ctv
云南卫视,http://60.172.82.115:8686/rtp/238.1.78.89:6584
四川卫视,https://stream1.freetv.fun/si-chuan-wei-shi-79.ctv
兵团卫视,http://60.172.82.115:8686/rtp/238.1.78.104:6704
天津卫视,https://stream1.freetv.fun/tian-jin-wei-shi-31.ctv
北京卫视,http://60.172.82.115:8686/rtp/238.1.78.162:7168
广东卫视,http://121.231.65.86:8095/rtp/239.49.8.13:9422
宁夏卫视,http://111.162.204.74:8686/rtp/225.1.1.56:5002
吉林卫视,http://60.172.82.115:8686/rtp/238.1.79.48:4496
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-40.ctv
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-17.ctv
四川卫视,http://60.172.82.115:8686/rtp/238.1.78.30:6168
广东卫视,https://stream1.freetv.fun/yan-dong-wei-shi-85.ctv
天津卫视,http://60.172.82.115:8686/rtp/238.1.78.20:6088
宁夏卫视,http://61.159.134.162:4022/rtp/238.255.2.75:5999
宁夏卫视,http://60.172.82.115:8686/rtp/238.1.78.109:6744
广西卫视,https://stream1.freetv.fun/yan-xi-wei-shi-65.ctv
山西卫视,http://60.172.82.115:8686/rtp/238.1.78.95:6632
河南卫视,https://stream1.freetv.fun/he-nan-wei-shi-9.ctv
新疆卫视,http://111.162.204.74:8686/rtp/225.1.1.35:5002
广东卫视,http://60.172.82.115:8686/rtp/238.1.78.161:7160
广西卫视,http://60.172.82.115:8686/rtp/238.1.78.70:6432
新疆卫视,http://60.172.82.115:8686/rtp/238.1.78.110:6752
江西卫视,http://60.172.82.115:8686/rtp/238.1.78.26:6136
辽宁卫视,http://121.231.65.86:8095/rtp/239.49.1.35:6000
西藏卫视,http://111.162.204.74:8686/rtp/225.1.1.51:5002
重庆卫视,http://121.231.65.86:8095/rtp/239.49.8.57:9830
河南卫视,http://60.172.82.115:8686/rtp/238.1.79.65:4632
河北卫视,http://60.172.82.115:8686/rtp/238.1.78.245:7832
海南卫视,http://60.172.82.115:8686/rtp/238.1.79.49:4504
甘肃卫视,http://60.172.82.115:8686/rtp/238.1.79.36:4400
西藏卫视,http://60.172.82.115:8686/rtp/238.1.78.101:6680
贵州卫视,http://60.172.82.115:8686/rtp/238.1.78.244:7824
辽宁卫视,http://60.172.82.115:8686/rtp/238.1.78.21:6096
重庆卫视,http://60.172.82.115:8686/rtp/238.1.78.31:6176
陕西卫视,http://61.159.134.162:4022/rtp/238.255.2.72:5999
陕西卫视,http://60.172.82.115:8686/rtp/238.1.78.88:6576
山东教育卫视,http://111.162.204.74:8686/rtp/225.1.2.118:5002
内蒙古卫视,http://111.162.204.74:8686/rtp/225.1.1.32:5002
青海卫视,http://60.172.82.115:8686/rtp/238.1.78.102:6688
三沙卫视,http://60.172.82.115:8686/rtp/238.1.78.27:6144
人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-9.ctv
人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-12.ctv
山东卫视,http://36.46.98.117:8025/rtp/239.112.205.70:5140
山东卫视,http://60.172.82.115:8686/rtp/238.1.78.169:7224
哈哈炫动,http://111.162.204.74:8686/rtp/225.1.1.62:5002
