更新时间,#genre#
20251124-08-13-56,url


RespoTime,whitelist,#genre#
411.05ms,CCTV1,http://114.254.33.252:18888/rtp/239.3.1.129:8008
418.38ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
424.02ms,CCTV1,http://116.235.57.69:4022/rtp/239.45.3.145:5140
426.52ms,CCTV1,http://114.100.195.157:4022/rtp/238.1.78.166:7200
425.83ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
427.67ms,CCTV1,http://36.46.98.117:8025/rtp/239.112.205.59:5140
435.16ms,CCTV1,http://61.159.134.162:4022/rtp/238.255.2.91:5999
438.50ms,CCTV1,http://121.231.65.86:8095/rtp/239.49.8.129:6000
436.58ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
440.46ms,CCTV1,http://36.46.98.173:8025/rtp/239.112.205.59:5140
450.80ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
454.74ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.2:8080
459.58ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
456.87ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.201.45:8800
459.69ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
459.24ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.72:5000
461.83ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.14:8852
470.05ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
468.54ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.151:5000
477.02ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.117:8712
483.11ms,CCTV1,http://111.162.204.74:8686/rtp/225.1.1.120:5002
488.08ms,CCTV1,http://223.167.230.235:4022/rtp/239.45.3.145:5140
506.07ms,CCTV1,http://121.29.141.197:4022/rtp/239.253.92.83:8012
508.42ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.72:5000
396.57ms,CCTV2,http://114.100.195.157:4022/rtp/238.1.78.235:7752
429.33ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.126:8002
409.43ms,CCTV2,http://114.254.33.252:18888/rtp/239.3.1.60:8084
445.04ms,CCTV1,http://114.107.44.68:8188/rtp/238.1.78.166:7200
441.71ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.53:8060
456.90ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.33:8002
475.04ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.1:8008
435.77ms,CCTV2,http://61.159.134.162:4022/rtp/238.255.2.11:5999
468.40ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.81:8176
463.71ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.210:8068
449.44ms,CCTV2,http://116.235.57.69:4022/rtp/239.45.3.208:5140
437.69ms,CCTV2,http://27.184.29.216:12312/rtp/239.254.200.158:6000
485.46ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.194:4120
461.24ms,CCTV2,http://111.113.88.198:2000/rtp/239.121.4.155:8914
450.73ms,CCTV2,http://115.171.80.57:1688/rtp/225.1.8.2:8084
488.77ms,CCTV2,http://36.46.98.173:8025/rtp/239.112.205.78:5140
464.47ms,CCTV2,http://36.46.98.117:8025/rtp/239.112.205.78:5140
451.71ms,CCTV2,http://1.58.246.115:4001/rtp/229.58.190.153:5000
499.84ms,CCTV2,http://1.58.246.115:4000/rtp/229.58.190.153:5000
513.23ms,CCTV2,http://121.29.141.197:4022/rtp/239.253.92.190:6065
525.59ms,CCTV2,http://111.162.204.74:8686/rtp/225.1.1.133:5002
647.19ms,CCTV2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
1171.11ms,CCTV1,http://27.184.29.216:12312/rtp/239.254.200.45:8008
393.73ms,CCTV3,http://121.231.65.86:8095/rtp/239.49.1.3:6000
423.86ms,CCTV2,http://114.107.44.68:8188/rtp/238.1.78.235:7752
413.89ms,CCTV3,http://114.254.33.252:18888/rtp/239.3.1.172:8001
448.52ms,CCTV2,http://115.171.216.120:4000/rtp/225.1.8.2:8084
430.36ms,CCTV3,http://36.46.98.173:8025/rtp/239.112.205.221:5140
426.22ms,CCTV3,http://115.171.80.57:1688/rtp/225.1.8.88:8000
462.03ms,CCTV3,http://121.29.141.197:4022/rtp/239.253.92.191:6057
472.55ms,CCTV3,http://1.58.246.115:4000/rtp/229.58.190.24:5000
462.91ms,CCTV3,http://27.184.29.216:12312/rtp/239.254.201.152:7205
475.80ms,CCTV3,http://36.46.98.117:8025/rtp/239.112.205.221:5140
456.68ms,CCTV3,http://223.167.230.235:4022/rtp/239.45.1.68:5140
457.24ms,CCTV3,http://1.58.246.115:4001/rtp/229.58.190.24:5000
443.57ms,CCTV3,http://114.107.44.68:8188/rtp/238.1.78.170:7232
485.75ms,CCTV3,http://115.171.216.120:4000/rtp/225.1.8.88:8000
547.45ms,CCTV3,http://111.162.204.74:8686/rtp/225.1.1.158:5002
1480.35ms,CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
418.47ms,CCTV4,http://114.254.33.252:18888/rtp/239.3.1.105:8092
432.34ms,CCTV4,http://61.159.134.162:4022/rtp/238.255.2.92:5999
457.54ms,CCTV4,http://111.113.88.198:2000/rtp/239.121.4.134:8786
461.36ms,CCTV4,http://121.29.141.197:4022/rtp/239.253.92.251:6141
473.36ms,CCTV4,http://1.58.246.115:4000/rtp/229.58.190.131:5000
