更新时间,#genre#
20251124-08-13-56,url


whitelist,#genre#
CCTV1,http://114.254.33.252:18888/rtp/239.3.1.129:8008
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
CCTV1,http://116.235.57.69:4022/rtp/239.45.3.145:5140
CCTV1,http://114.100.195.157:4022/rtp/238.1.78.166:7200
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
CCTV1,http://36.46.98.117:8025/rtp/239.112.205.59:5140
CCTV1,http://61.159.134.162:4022/rtp/238.255.2.91:5999
CCTV1,http://121.231.65.86:8095/rtp/239.49.8.129:6000
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
CCTV1,http://36.46.98.173:8025/rtp/239.112.205.59:5140
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
CCTV1,http://106.59.3.203:55555/rtp/239.200.200.2:8080
CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
CCTV1,http://106.59.3.203:55555/rtp/239.200.201.45:8800
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
CCTV1,http://1.58.246.115:4001/rtp/229.58.190.72:5000
CCTV1,http://106.59.3.203:55555/rtp/239.200.200.14:8852
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
CCTV1,http://1.58.246.115:4001/rtp/229.58.190.151:5000
CCTV1,http://106.59.3.203:55555/rtp/239.200.200.117:8712
CCTV1,http://111.162.204.74:8686/rtp/225.1.1.120:5002
CCTV1,http://223.167.230.235:4022/rtp/239.45.3.145:5140
CCTV1,http://121.29.141.197:4022/rtp/239.253.92.83:8012
CCTV1,http://1.58.246.115:4000/rtp/229.58.190.72:5000
CCTV2,http://114.100.195.157:4022/rtp/238.1.78.235:7752
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.126:8002
CCTV2,http://114.254.33.252:18888/rtp/239.3.1.60:8084
CCTV1,http://114.107.44.68:8188/rtp/238.1.78.166:7200
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.53:8060
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.33:8002
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.1:8008
CCTV2,http://61.159.134.162:4022/rtp/238.255.2.11:5999
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.81:8176
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.210:8068
CCTV2,http://116.235.57.69:4022/rtp/239.45.3.208:5140
CCTV2,http://27.184.29.216:12312/rtp/239.254.200.158:6000
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.194:4120
CCTV2,http://111.113.88.198:2000/rtp/239.121.4.155:8914
CCTV2,http://115.171.80.57:1688/rtp/225.1.8.2:8084
CCTV2,http://36.46.98.173:8025/rtp/239.112.205.78:5140
CCTV2,http://36.46.98.117:8025/rtp/239.112.205.78:5140
CCTV2,http://1.58.246.115:4001/rtp/229.58.190.153:5000
CCTV2,http://1.58.246.115:4000/rtp/229.58.190.153:5000
CCTV2,http://121.29.141.197:4022/rtp/239.253.92.190:6065
CCTV2,http://111.162.204.74:8686/rtp/225.1.1.133:5002
CCTV2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
CCTV1,http://27.184.29.216:12312/rtp/239.254.200.45:8008
CCTV3,http://121.231.65.86:8095/rtp/239.49.1.3:6000
CCTV2,http://114.107.44.68:8188/rtp/238.1.78.235:7752
CCTV3,http://114.254.33.252:18888/rtp/239.3.1.172:8001
CCTV2,http://115.171.216.120:4000/rtp/225.1.8.2:8084
CCTV3,http://36.46.98.173:8025/rtp/239.112.205.221:5140
CCTV3,http://115.171.80.57:1688/rtp/225.1.8.88:8000
CCTV3,http://121.29.141.197:4022/rtp/239.253.92.191:6057
CCTV3,http://1.58.246.115:4000/rtp/229.58.190.24:5000
CCTV3,http://27.184.29.216:12312/rtp/239.254.201.152:7205
CCTV3,http://36.46.98.117:8025/rtp/239.112.205.221:5140
CCTV3,http://223.167.230.235:4022/rtp/239.45.1.68:5140
CCTV3,http://1.58.246.115:4001/rtp/229.58.190.24:5000
CCTV3,http://114.107.44.68:8188/rtp/238.1.78.170:7232
CCTV3,http://115.171.216.120:4000/rtp/225.1.8.88:8000
CCTV3,http://111.162.204.74:8686/rtp/225.1.1.158:5002
CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
CCTV4,http://114.254.33.252:18888/rtp/239.3.1.105:8092
CCTV4,http://61.159.134.162:4022/rtp/238.255.2.92:5999
CCTV4,http://111.113.88.198:2000/rtp/239.121.4.134:8786
CCTV4,http://121.29.141.197:4022/rtp/239.253.92.251:6141
CCTV4,http://1.58.246.115:4000/rtp/229.58.190.131:5000
CCTV4,http://115.171.80.57:1688/rtp/225.1.8.4:8092
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
CCTV4,http://27.184.29.216:12312/rtp/239.254.200.190:6307
CCTV4,http://36.46.98.173:8025/rtp/239.112.205.202:5140
CCTV4,http://223.167.230.235:4022/rtp/239.45.0.2:5140
CCTV4,http://111.162.204.74:8686/rtp/225.1.1.150:5002
CCTV4,http://36.46.98.117:8025/rtp/239.112.205.202:5140
CCTV4,http://1.58.246.115:4001/rtp/229.58.190.131:5000
CCTV4,http://114.254.33.252:18888/rtp/239.3.1.213:4220
CCTV4,http://114.107.44.68:8188/rtp/238.1.78.236:7760
CCTV4,http://115.171.216.120:4000/rtp/225.1.8.4:8092
CCTV4,http://114.254.33.252:18888/rtp/239.3.1.214:4220
CCTV4,http://111.113.88.198:2000/rtp/239.121.4.123:8000
CCTV4,http://106.59.3.203:55555/rtp/239.200.201.181:4220
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20251124140031d71e88ab2c5947428059354abeddf6d9&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=37a3ed94f86c451090e34008c3f29272&ddCalcu=2377e2a29312e0fd39c48f08064c34e50190
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202511241400319fe8444293654187a5519e09aee37285&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ad27334215d76bf52bc75b72a5b55ef9&ddCalcu=9afdee22574530b354a22175bd5776cbbf25
CCTV4,http://121.29.141.197:4022/rtp/239.253.93.192:6370
CCTV4,http://111.113.88.198:2000/rtp/239.121.4.124:8002
